SEZIONE,TOTALE_ISCRITTI,LIBERI E UGUALI - VOTI ALLA LISTA,GRANDE NORD - VOTI ALLA LISTA,ITALIA AGLI ITALIANI - VOTI ALLA LISTA,MOVIMENTO 5 STELLE - VOTI ALLA LISTA,PARTITO DEMOCRATICO - VOTI ALLA LISTA,PIÃ¹ EUROPA CON EMMA BONINO - VOTI ALLA LISTA,CIVICA POPOLARE LORENZIN - VOTI ALLA LISTA,ITALIA EUROPA INSIEME - VOTI ALLA LISTA,"VOTI SOLO CANDIDATO UNINOMINALE
(PIÃ¹ EUROPA CON EMMA BONINO - CIVICA POPOLARE LORENZIN - ITALIA EUROPA INSIEME - PARTITO DEMOCRATICO)",IL POPOLO DELLA FAMIGLIA - VOTI ALLA LISTA,NOI CON L'ITALIA UDC - VOTI ALLA LISTA,LEGA - VOTI ALLA LISTA,FORZA ITALIA BERLUSCONI PRESIDENTE - VOTI ALLA LISTA,GIORGIA MELONI FRATELLI D'ITALIA - VOTI ALLA LISTA,"VOTI SOLO CANDIDATO UNINOMINALE
(GIORGIA MELONI FRATELLI D'ITALIA - LEGA - NOI CON L'ITALIA UDC - FORZA ITALIA BERLUSCONI PRESIDENTE)",PARTITO VALORE UMANO - VOTI ALLA LISTA,CASAPOUND ITALIA - VOTI ALLA LISTA,PARTITO REPUBBLICANO ITALIANO ALA  - VOTI ALLA LISTA,POTERE AL POPOLO! - VOTI ALLA LISTA,TOTALE,AFFLUENZA
759,627,31,1,1,74,114,52,0,3,7,4,3,55,51,14,4,1,1,0,15,431,0.6874003189792663
760,813,33,0,2,58,194,89,3,5,12,5,7,68,86,30,9,1,6,0,11,619,0.7613776137761378
761,867,33,0,1,100,220,42,6,2,10,1,3,108,71,25,10,3,5,0,6,646,0.7450980392156863
762,986,38,0,0,111,229,80,2,5,11,4,7,100,103,26,5,0,5,0,13,739,0.7494929006085193
763,518,21,0,0,61,99,26,3,2,9,2,3,43,32,7,7,1,1,0,12,329,0.6351351351351351
764,805,32,0,1,100,167,53,3,4,7,8,2,88,68,22,5,0,4,0,7,571,0.7093167701863354
765,728,30,1,1,99,122,61,1,10,10,2,2,85,56,16,4,4,2,0,18,524,0.7197802197802198
766,774,18,0,2,79,189,66,3,2,13,1,1,70,84,17,4,0,3,0,8,560,0.7235142118863049
767,574,29,1,0,84,102,27,3,2,7,1,2,66,40,13,3,1,4,0,5,390,0.6794425087108014
768,630,18,2,0,81,108,49,5,6,6,0,2,57,79,14,0,1,3,1,6,438,0.6952380952380952
769,560,32,0,0,103,109,30,3,0,4,3,1,44,53,11,3,1,7,0,7,411,0.7339285714285714
770,703,36,0,0,59,160,64,1,3,8,0,6,66,86,30,6,1,3,0,3,532,0.7567567567567568
771,737,27,0,1,70,161,47,3,6,7,2,1,80,79,28,13,1,3,0,3,532,0.7218453188602443
772,774,35,0,1,76,149,49,2,4,8,1,7,85,71,26,8,1,3,0,10,536,0.6925064599483204
773,571,28,1,1,73,107,41,0,3,8,2,2,65,58,13,4,2,7,0,9,424,0.7425569176882661
774,832,21,0,2,68,147,91,5,4,11,0,7,80,101,27,7,0,2,0,6,579,0.6959134615384616
775,493,18,0,0,47,109,46,3,0,9,2,11,61,60,19,7,0,1,1,5,399,0.8093306288032455
776,292,9,0,2,9,74,33,1,0,2,2,5,29,44,19,1,0,1,0,0,231,0.791095890410959
777,246,8,0,0,14,66,19,1,1,0,8,1,20,35,6,2,1,3,0,1,186,0.7560975609756098
778,504,10,0,1,21,71,21,3,5,2,3,10,19,73,14,3,1,3,0,1,261,0.5178571428571429
779,557,10,0,1,29,94,38,1,0,8,6,5,58,129,28,6,0,2,0,0,415,0.7450628366247756
780,625,18,0,0,40,120,65,5,2,8,1,13,75,86,27,10,0,2,0,4,476,0.7616
781,483,15,0,0,40,108,51,3,1,6,9,8,51,66,28,8,0,0,0,2,396,0.8198757763975155
782,445,9,0,2,32,98,49,2,2,9,4,4,36,62,23,5,0,1,0,3,341,0.7662921348314606
783,237,6,0,0,12,64,18,2,1,4,1,2,30,32,11,2,0,2,0,1,188,0.7932489451476793
784,621,29,0,1,63,134,54,4,2,6,7,3,68,51,12,8,2,3,0,7,454,0.7310789049919485
785,623,24,1,0,46,127,80,6,5,8,3,3,66,79,22,5,1,2,0,1,479,0.7688603531300161
786,494,13,1,1,76,101,49,2,5,3,2,5,50,55,15,7,1,3,0,5,394,0.7975708502024291
787,681,34,0,1,147,133,19,1,3,12,2,4,58,52,16,8,2,2,0,5,499,0.7327459618208517
788,605,18,0,0,102,86,15,2,1,5,0,1,87,62,11,5,0,0,1,4,400,0.6611570247933884
789,654,18,1,0,99,147,19,1,2,6,6,3,63,47,15,0,3,2,0,2,434,0.6636085626911316
790,700,18,2,0,107,132,16,4,3,4,1,0,93,74,21,6,0,2,0,2,485,0.6928571428571428
791,678,15,1,1,116,117,11,1,0,4,0,2,105,56,18,4,0,11,0,7,469,0.6917404129793511
792,690,33,1,0,126,109,18,1,3,5,1,0,69,62,21,1,0,8,1,3,462,0.6695652173913044
793,581,18,0,0,110,91,21,1,2,4,3,3,66,41,13,4,3,4,0,1,385,0.6626506024096386
794,596,15,0,1,116,110,11,2,3,3,4,5,71,45,4,2,2,8,0,4,406,0.6812080536912751
795,583,24,0,3,110,84,22,2,1,3,2,3,56,58,16,3,0,3,0,3,393,0.6740994854202401
796,617,26,1,0,106,97,15,3,2,4,3,5,71,53,7,2,0,3,1,4,403,0.653160453808752
797,682,27,0,2,140,98,24,2,1,3,1,1,76,51,10,2,0,7,0,5,450,0.6598240469208211
798,628,24,0,4,96,87,8,1,0,2,1,1,68,50,4,3,0,3,0,4,356,0.5668789808917197
799,579,17,0,1,102,126,19,2,4,3,0,3,71,48,18,4,1,6,0,3,428,0.7392055267702936
800,577,27,0,2,128,92,17,1,0,4,6,0,61,32,14,2,1,5,0,9,401,0.6949740034662045
801,612,20,1,0,75,113,28,1,3,3,3,1,73,44,18,6,0,3,0,4,396,0.6470588235294118
802,535,23,1,0,87,119,16,3,3,4,1,3,58,41,9,3,1,2,1,6,381,0.7121495327102804
803,717,22,1,1,155,100,18,3,1,4,0,1,77,54,24,2,0,10,1,3,477,0.6652719665271967
804,615,18,1,2,121,123,17,0,1,5,1,2,87,63,19,6,1,6,0,4,477,0.775609756097561
805,749,31,1,2,116,157,34,5,2,7,6,4,72,80,29,9,1,10,2,13,581,0.7757009345794392
806,579,15,0,3,124,106,15,2,2,6,1,3,59,40,8,1,1,1,0,8,395,0.6822107081174439
807,709,18,1,1,102,78,14,1,0,1,2,1,67,72,7,4,0,5,0,4,378,0.5331452750352609
808,814,24,1,2,181,169,21,0,4,9,11,5,85,38,21,6,2,7,1,3,590,0.7248157248157249
809,588,21,0,1,85,107,17,3,1,5,3,2,64,60,15,5,4,2,0,4,399,0.6785714285714286
810,621,23,0,2,99,92,13,2,1,14,3,5,68,41,11,4,2,4,0,13,397,0.6392914653784219
811,658,21,0,2,65,159,52,2,5,5,0,2,66,73,33,8,0,7,0,6,506,0.7689969604863222
812,614,28,0,0,111,107,15,0,1,5,2,1,68,57,12,1,0,12,1,2,423,0.6889250814332247
813,569,20,0,0,84,117,21,2,0,3,2,2,50,64,16,9,0,4,0,8,402,0.7065026362038664
814,583,32,0,1,111,93,34,0,0,5,2,1,64,47,9,2,0,3,0,5,409,0.7015437392795884
815,739,27,0,1,86,144,54,4,4,10,1,4,93,64,28,9,1,7,2,8,547,0.7401894451962111
816,489,16,0,2,89,64,12,0,0,0,2,0,42,32,7,1,1,3,0,10,281,0.5746421267893661
817,492,13,1,1,71,86,23,0,1,4,3,3,56,45,8,3,1,1,0,4,324,0.6585365853658537
818,628,19,1,1,111,134,24,1,3,4,4,3,64,51,10,2,1,1,0,6,440,0.7006369426751592
819,620,25,1,1,101,88,10,0,1,2,3,1,65,56,8,3,1,5,0,7,378,0.6096774193548387
820,617,37,1,1,105,109,21,0,5,3,3,1,56,39,5,2,7,0,0,7,402,0.6515397082658023
821,646,23,0,1,116,123,34,2,1,5,5,3,71,38,10,3,0,2,0,9,446,0.6904024767801857
822,556,26,0,0,100,92,17,0,0,2,1,5,53,48,9,3,4,5,0,3,368,0.6618705035971223
823,615,20,1,2,98,99,23,3,1,7,8,1,68,52,5,2,0,4,0,8,402,0.6536585365853659
824,644,15,0,0,101,111,25,1,5,6,5,2,86,58,11,4,1,2,0,7,440,0.6832298136645962
825,632,37,1,1,87,117,27,1,4,3,4,1,67,50,14,2,0,3,0,7,426,0.6740506329113924
826,614,21,0,1,104,116,23,5,4,8,7,2,58,50,18,6,0,1,2,3,429,0.6986970684039088
827,534,17,0,1,146,87,19,2,0,5,2,1,44,43,9,1,0,1,0,6,384,0.7191011235955056
828,611,32,0,1,70,160,40,4,4,5,5,5,66,46,22,8,1,4,1,2,476,0.779050736497545
829,596,16,1,3,111,92,10,1,0,6,0,1,96,47,4,4,0,3,0,9,404,0.6778523489932886
830,711,33,0,0,136,148,30,1,3,5,3,4,72,44,22,5,0,7,0,5,518,0.7285513361462729
831,622,22,1,4,116,108,15,2,0,3,1,0,64,43,9,3,3,2,0,0,396,0.6366559485530546
832,528,26,0,1,90,97,23,2,1,4,0,0,52,43,15,2,2,1,1,2,362,0.6856060606060606
833,570,10,0,1,116,89,11,1,1,1,8,3,62,52,13,6,0,3,0,5,382,0.6701754385964912
834,694,22,0,1,169,109,14,1,0,6,2,1,76,41,16,2,1,6,0,5,472,0.6801152737752162
835,719,25,0,0,133,116,17,0,2,3,3,3,96,53,14,1,2,6,0,7,481,0.6689847009735744
836,574,23,0,2,99,83,15,0,1,1,4,2,83,44,2,4,2,1,0,7,373,0.6498257839721254
837,634,15,0,3,109,128,21,3,0,5,2,3,81,42,14,5,2,3,0,3,439,0.692429022082019
838,562,13,0,0,108,105,21,0,1,4,0,2,69,40,13,3,3,1,0,4,387,0.6886120996441281
839,551,21,0,3,120,97,14,3,2,2,4,1,69,38,8,4,0,1,3,1,391,0.7096188747731398
840,562,24,1,1,113,78,10,0,1,5,1,1,67,34,14,3,0,5,0,2,360,0.6405693950177936
841,879,40,0,1,157,186,43,7,5,12,7,2,97,64,18,4,0,3,0,2,648,0.7372013651877133
842,805,29,0,3,169,155,41,1,1,6,1,3,82,56,15,5,1,4,1,9,582,0.7229813664596273
843,679,23,0,0,139,105,13,0,1,1,5,0,99,28,17,4,2,3,1,4,445,0.6553755522827688
844,663,21,1,0,106,117,12,5,1,4,0,1,79,60,14,2,2,6,0,7,438,0.6606334841628959
845,878,25,0,2,166,173,35,1,3,7,0,3,112,91,21,1,4,4,0,1,649,0.7391799544419134
846,620,14,1,1,126,116,20,2,0,5,2,2,70,46,9,2,1,2,0,8,427,0.6887096774193548
847,654,22,1,0,131,108,17,3,2,1,1,0,95,36,20,4,3,5,0,2,451,0.6896024464831805
848,644,17,1,3,98,164,23,1,1,1,1,5,77,49,9,2,0,5,0,7,464,0.7204968944099379
849,593,16,0,0,124,106,25,0,0,5,1,0,73,52,10,3,0,4,0,6,425,0.7166947723440135
850,674,14,1,1,106,140,23,0,4,4,0,2,89,63,16,4,5,1,1,8,482,0.7151335311572701
851,675,28,0,1,115,139,29,0,1,7,1,5,82,64,24,5,0,3,0,3,507,0.7511111111111111
852,642,34,0,1,147,152,24,2,3,0,0,1,64,39,18,2,4,1,0,4,496,0.7725856697819314
853,659,15,0,2,119,134,23,0,0,0,6,0,87,45,14,4,0,1,0,3,453,0.6874051593323217
854,658,19,0,1,128,141,12,3,1,5,5,3,79,17,50,1,0,4,0,4,473,0.7188449848024316
855,587,30,0,1,103,140,19,2,2,8,5,3,62,46,17,3,0,1,0,4,446,0.7597955706984668
856,792,32,1,1,123,188,18,2,1,10,1,5,103,67,16,4,1,2,0,8,583,0.7361111111111112
857,643,22,0,4,153,116,22,0,1,2,1,2,67,54,21,2,0,2,1,1,471,0.7325038880248833
858,739,43,0,1,125,165,23,6,2,9,0,6,91,58,20,2,1,6,0,8,566,0.7658998646820027
859,660,23,1,1,121,147,22,1,5,4,5,3,75,63,16,3,1,7,0,4,502,0.7606060606060606
860,740,23,0,1,139,172,25,1,2,9,2,2,81,54,25,3,0,3,0,3,545,0.7364864864864865
861,696,17,1,3,148,131,19,2,2,11,3,4,85,51,23,2,0,7,1,4,514,0.7385057471264368
862,652,37,0,0,92,149,29,2,2,6,4,6,76,51,23,1,3,6,0,9,496,0.7607361963190185
863,685,41,0,2,119,142,11,3,1,1,0,2,60,48,14,2,1,3,3,8,461,0.672992700729927
864,659,21,0,0,135,142,22,1,2,4,2,3,60,43,30,5,1,4,1,3,479,0.7268588770864947
865,839,32,0,1,155,166,27,3,0,5,0,2,108,63,24,4,1,9,0,4,604,0.7199046483909416
866,613,28,0,0,143,136,13,1,2,4,4,2,69,33,9,3,0,2,0,6,455,0.7422512234910277
867,559,20,0,0,111,88,20,0,3,4,4,1,62,48,4,0,0,5,0,3,373,0.667262969588551
868,532,14,0,0,115,74,8,0,1,1,2,2,67,35,8,2,0,2,0,4,335,0.6296992481203008
869,558,13,0,1,136,71,14,1,1,3,6,1,57,42,9,6,1,3,0,1,366,0.6559139784946236
870,580,11,0,1,93,57,6,0,0,1,4,2,61,38,5,1,1,5,0,9,295,0.5086206896551724
871,652,14,1,3,150,87,14,1,0,2,1,1,78,39,10,4,0,1,1,3,410,0.6288343558282209
872,686,25,0,0,190,115,14,0,0,5,2,4,82,34,15,4,1,1,0,1,493,0.7186588921282799
873,594,11,2,4,152,78,18,0,3,2,4,0,65,35,13,2,1,2,1,1,394,0.6632996632996633
874,583,8,0,2,100,87,16,0,0,3,2,3,72,32,14,1,2,3,0,5,350,0.6003430531732419
875,587,11,2,3,83,59,10,1,0,1,1,1,44,66,13,1,0,2,2,3,303,0.5161839863713799
876,885,17,0,3,183,189,28,3,3,4,5,3,94,73,21,2,2,8,0,2,640,0.7231638418079096
877,594,25,0,1,132,114,8,0,1,9,3,2,73,50,15,6,2,3,0,5,449,0.7558922558922558
878,657,24,0,0,131,123,15,1,1,2,2,4,84,54,15,1,1,2,0,4,464,0.7062404870624048
879,834,27,1,1,222,140,17,2,3,5,3,1,80,67,12,2,0,12,1,4,600,0.7194244604316546
880,871,26,0,1,215,138,17,1,0,3,5,3,85,47,24,1,3,6,0,4,579,0.6647531572904707
881,650,12,1,3,168,67,17,0,1,3,2,0,72,37,12,1,0,8,0,2,406,0.6246153846153846
882,504,10,0,0,113,73,13,2,0,2,1,0,57,31,9,2,2,4,0,4,323,0.6408730158730159
883,628,23,0,3,112,76,24,2,1,2,2,1,54,50,17,1,1,3,1,3,376,0.5987261146496815
884,622,22,0,1,146,119,20,1,1,1,2,2,63,37,11,1,0,5,0,2,434,0.6977491961414791
885,644,16,1,1,133,91,13,2,2,4,2,3,87,67,14,2,1,3,2,5,449,0.6972049689440993
886,592,13,0,1,122,77,4,1,0,2,1,3,51,53,6,1,0,1,1,10,347,0.5861486486486487
887,515,8,1,1,105,58,6,2,1,0,3,4,60,48,7,2,1,2,0,1,310,0.6019417475728155
888,666,24,0,1,129,172,17,0,0,5,3,2,76,42,15,1,1,2,0,3,493,0.7402402402402403
889,693,25,1,1,153,138,13,0,0,5,3,2,63,51,10,1,1,2,1,5,475,0.6854256854256854
890,603,14,0,0,123,90,13,0,1,1,1,2,64,44,12,0,1,6,0,2,374,0.6202321724709784
891,678,25,1,2,154,119,14,0,2,4,4,1,90,54,14,4,1,4,0,10,503,0.7418879056047197
892,690,17,0,0,127,125,11,0,4,3,4,1,78,65,18,5,0,5,0,11,474,0.6869565217391305
893,678,35,1,0,152,88,13,0,0,1,0,0,79,51,10,6,0,8,2,6,452,0.6666666666666666
894,645,26,0,3,134,115,12,1,1,1,3,2,60,37,18,2,0,1,0,3,419,0.6496124031007752
895,793,31,0,0,132,155,23,1,4,10,3,6,99,51,19,5,0,2,3,9,553,0.6973518284993695
896,817,42,0,1,165,131,24,2,2,5,1,1,100,57,23,1,3,3,1,6,568,0.6952264381884945
897,646,17,0,2,129,89,10,1,2,3,3,0,70,49,10,2,0,5,0,4,396,0.6130030959752322
898,532,17,0,1,136,67,5,1,0,2,2,3,56,29,6,4,0,2,1,3,335,0.6296992481203008
899,563,17,0,2,142,66,12,0,2,3,0,3,56,47,14,2,0,3,0,0,369,0.655417406749556
900,655,18,1,0,138,91,13,3,0,1,7,4,60,46,10,7,1,4,1,6,411,0.6274809160305344
901,573,20,1,0,148,82,6,3,0,2,3,1,50,40,8,2,0,2,1,6,375,0.6544502617801047
902,563,16,0,1,147,71,7,2,2,1,2,4,71,40,5,0,1,3,0,3,376,0.6678507992895204
903,563,12,0,3,157,76,8,0,2,4,2,1,54,35,6,1,0,3,0,7,371,0.6589698046181173
904,660,16,1,0,132,119,17,3,2,3,4,0,70,44,10,3,2,5,3,4,438,0.6636363636363637
905,602,18,0,2,158,92,8,1,1,2,1,4,61,47,5,2,3,4,1,3,413,0.686046511627907
906,585,15,0,0,103,76,9,0,0,0,0,3,60,47,6,4,0,5,1,3,332,0.5675213675213675
907,717,41,0,3,162,151,21,4,4,8,4,2,94,58,23,2,0,3,1,2,583,0.8131101813110181
908,0,1,0,0,10,11,2,1,1,1,0,1,7,10,3,2,0,0,0,0,50,inf
909,0,5,1,0,11,26,3,0,0,0,0,0,17,19,4,0,0,1,0,1,88,inf
910,509,32,0,2,110,95,20,0,5,4,2,5,62,29,12,1,0,5,0,5,389,0.7642436149312377
911,0,2,0,0,7,23,1,1,0,2,0,0,14,11,2,1,0,1,0,0,65,inf
912,0,4,0,0,31,30,2,0,0,1,2,0,20,28,4,1,0,1,0,1,125,inf
913,853,35,0,3,133,192,43,2,3,4,3,5,105,70,18,8,1,2,0,8,635,0.7444314185228605
914,579,39,0,1,72,108,35,1,2,7,1,0,62,60,28,4,0,4,1,6,431,0.7443868739205527
915,699,16,0,0,208,80,10,1,1,1,6,1,110,50,10,6,0,5,0,2,507,0.7253218884120172
916,0,2,0,0,15,27,4,2,0,0,0,0,9,14,0,0,0,0,0,1,74,inf
917,0,2,0,0,19,24,1,0,0,0,1,0,17,13,2,1,0,0,0,1,81,inf
918,0,9,1,0,15,19,2,0,0,1,1,1,14,13,1,0,1,0,0,0,78,inf
919,0,5,0,0,17,16,5,0,0,0,0,0,14,4,2,1,0,1,0,0,65,inf
